city,channel,sales,profit,growth,repeat_rate,cac,availability,new_consumers,segment_id,segment_label
Bengaluru,Cafés,51211966.68,23287059.81,0.7064103353827755,0.5461841770565609,114.02240107577376,0.7647541666666666,24343,3,Retention-led
Bengaluru,Convenience,130914295.38,55622068.59,0.668930654028009,0.47983378900358326,53.80356890096537,0.7686916666666667,94154,2,Scale & profit
Bengaluru,E-commerce,65198896.74,21448379.83,0.9111015700486521,0.5024068381796264,48.880082008939375,0.751375,74033,0,High-growth acquisition
Bengaluru,Grocery,78999669.78,28020596.84,0.8202430556638206,0.4154397523891851,48.18632872468586,0.7568416666666667,77238,0,High-growth acquisition
Bengaluru,Quick commerce,86675984.98,28873303.21,1.7630470238742117,0.45872346109700374,38.72674847356638,0.7677333333333333,114096,0,High-growth acquisition
Bengaluru,Sports/events,34260555.3,14978480.8,1.053975417870952,0.35701285719084735,47.91134326149384,0.7540833333333333,47540,1,Efficiency watch
Chennai,Cafés,36243506.08,16229129.469999999,0.6976826983312981,0.5503078752911558,138.4947079082717,0.7528375,16946,3,Retention-led
Chennai,Convenience,95924305.03,40452528.08,0.591168122998276,0.48026167064468245,60.683933736912486,0.759325,67721,2,Scale & profit
Chennai,E-commerce,48076967.72,15939180.540000001,0.7798247934174387,0.4931769856029629,51.7837331467047,0.760675,55614,1,Efficiency watch
Chennai,Grocery,57943118.76,20109821.04,0.4567587777981668,0.41483524205261907,53.861579732061166,0.7667541666666667,58051,1,Efficiency watch
Chennai,Quick commerce,63689773.73,20619273.98,1.5903565058692593,0.45868903062839683,42.912440309193755,0.7620166666666667,82870,0,High-growth acquisition
Chennai,Sports/events,24404294.31,10317333.67,0.787240883076554,0.3599447232282129,56.25650279099517,0.7492291666666667,34159,1,Efficiency watch
Delhi NCR,Cafés,47310080.76,21377115.81,0.6862988756339148,0.5550415013416218,118.82513115973649,0.754975,22834,3,Retention-led
Delhi NCR,Convenience,117650283.5,49007908.0,0.22642766577008938,0.47878883755693424,58.0307414944148,0.7592958333333333,82372,2,Scale & profit
Delhi NCR,E-commerce,60165185.67,20022414.65,1.0178385874763258,0.503849578749388,46.498189715844774,0.7589375,69247,0,High-growth acquisition
Delhi NCR,Grocery,73565004.42,25530814.91,0.7575425235557449,0.4166782920834293,48.52835177743922,0.7561874999999999,72682,0,High-growth acquisition
Delhi NCR,Quick commerce,81920947.25,27904247.900000002,1.6774257550316942,0.45516912010510885,38.39196354910035,0.7523125,105185,0,High-growth acquisition
Delhi NCR,Sports/events,31546719.09,13594151.61,0.6794852560103932,0.36148057548722173,48.225301705609695,0.7598166666666667,44185,1,Efficiency watch
Hyderabad,Cafés,39641519.46,17645116.45,0.8591489215484824,0.5445034829603087,127.12121013690258,0.7533958333333333,19023,3,Retention-led
Hyderabad,Convenience,102772888.53,43443809.39,0.664071437292918,0.47954038447239694,57.36849290268239,0.7588625000000001,72841,2,Scale & profit
Hyderabad,E-commerce,52460859.49,17717981.53,1.198495265524708,0.5004356089618385,47.66452957574446,0.7581416666666666,60833,0,High-growth acquisition
Hyderabad,Grocery,61378287.7,21524214.63,0.6059938064378287,0.42208316287929687,48.70687334927717,0.7568541666666667,60819,1,Efficiency watch
Hyderabad,Quick commerce,68805219.92,22876203.13,1.323647496427087,0.4569123092411514,41.78445928265106,0.7535416666666667,87781,0,High-growth acquisition
Hyderabad,Sports/events,26728352.01,11263556.68,0.7110030890692327,0.3662299250499446,52.91637007713559,0.7573041666666667,37511,1,Efficiency watch
Mumbai,Cafés,48628424.32,22124658.16,0.47917493104040243,0.5518470623629668,111.3548750601043,0.7660916666666666,23556,3,Retention-led
Mumbai,Convenience,124061309.03,52305195.580000006,0.7997795504238641,0.47737379528166635,54.80026386353779,0.753775,88657,2,Scale & profit
Mumbai,E-commerce,62648316.51,21184879.68,0.8025749560212395,0.5007222319499859,48.02776171598804,0.7613666666666666,71579,0,High-growth acquisition
Mumbai,Grocery,77337962.99,27397891.31,0.691361846033407,0.4163329154772655,47.99883184314001,0.7531416666666667,75382,0,High-growth acquisition
Mumbai,Quick commerce,83901373.88,27754429.8,1.5284660513464634,0.45612977740182575,39.158713793443816,0.7557125,108815,0,High-growth acquisition
Mumbai,Sports/events,32867236.36,14108065.28,0.8475175413102783,0.3598218221910243,48.82470696164834,0.7619791666666668,46081,1,Efficiency watch
Pune,Cafés,39254494.05,17525909.16,0.5912535850647335,0.5521421356458699,138.26180635100945,0.752425,18487,3,Retention-led
Pune,Convenience,98079694.63,40969172.78,0.9344756937282571,0.479545032817269,60.816838543419244,0.7509833333333332,69819,2,Scale & profit
Pune,E-commerce,48855652.44,15653079.78,1.241411981542816,0.49692594147732755,51.997863540992114,0.7613208333333333,57491,0,High-growth acquisition
Pune,Grocery,60647759.48,20828724.04,0.6420906221662902,0.4218895338990238,54.73091873374205,0.7540833333333333,59351,1,Efficiency watch
Pune,Quick commerce,64882941.01,21266965.41,1.0918548577547948,0.45912840186903997,43.43054209028279,0.7584083333333332,83331,0,High-growth acquisition
Pune,Sports/events,26271223.37,11054158.52,0.8909527674791948,0.36204343703818215,54.81211843118709,0.7629458333333333,36909,1,Efficiency watch
